Entidade;Classe
Bajociano;Unidade_Cronoestratigrafica
Bajociano Superior;Unidade_Cronoestratigrafica
Bajociano Inferior;Unidade_Cronoestratigrafica
Aaleniano;Unidade_Cronoestratigrafica
Aaleniano Superior;Unidade_Cronoestratigrafica
Aaleniano Médio;Unidade_Cronoestratigrafica
Aaleniano Inferior;Unidade_Cronoestratigrafica
Jurássico Inferior;Unidade_Cronoestratigrafica
Toarciano;Unidade_Cronoestratigrafica
Toarciano Superior;Unidade_Cronoestratigrafica
Toarciano Inferior;Unidade_Cronoestratigrafica
Pliensbachiano;Unidade_Cronoestratigrafica
Pliensbachiano Superior;Unidade_Cronoestratigrafica
Pliensbachiano Inferior;Unidade_Cronoestratigrafica
Sinemuriano;Unidade_Cronoestratigrafica
Sinemuriano Superior;Unidade_Cronoestratigrafica
Sinemuriano Inferior;Unidade_Cronoestratigrafica
Hettangiano;Unidade_Cronoestratigrafica
Triássico;Unidade_Cronoestratigrafica
Triássico Superior;Unidade_Cronoestratigrafica
Rhaetiano;Unidade_Cronoestratigrafica
Noriano;Unidade_Cronoestratigrafica
Sevatiano;Unidade_Cronoestratigrafica
Alauniano;Unidade_Cronoestratigrafica
Laciano;Unidade_Cronoestratigrafica
Carniano;Unidade_Cronoestratigrafica
Tuvaliano;Unidade_Cronoestratigrafica
Juliano;Unidade_Cronoestratigrafica
Cordevoliano;Unidade_Cronoestratigrafica
Triássico Médio;Unidade_Cronoestratigrafica
Ladiniano;Unidade_Cronoestratigrafica
Longobardiano;Unidade_Cronoestratigrafica
Fassaniano;Unidade_Cronoestratigrafica
Anisiano;Unidade_Cronoestratigrafica
Illyriano;Unidade_Cronoestratigrafica
Pelsoniano;Unidade_Cronoestratigrafica
Bityniano;Unidade_Cronoestratigrafica
Aegeano;Unidade_Cronoestratigrafica
Triássico Inferior;Unidade_Cronoestratigrafica
Olenekiano;Unidade_Cronoestratigrafica
Spathiano;Unidade_Cronoestratigrafica
Smithiano;Unidade_Cronoestratigrafica
Induano;Unidade_Cronoestratigrafica
Dieneriano;Unidade_Cronoestratigrafica
Griesbachiano;Unidade_Cronoestratigrafica
Paleozoico;Unidade_Cronoestratigrafica
Permiano;Unidade_Cronoestratigrafica
Lopingiano;Unidade_Cronoestratigrafica
Changhsingiano;Unidade_Cronoestratigrafica
Wuchiapingiano;Unidade_Cronoestratigrafica
Guadalupiano;Unidade_Cronoestratigrafica
Capitaniano;Unidade_Cronoestratigrafica
Wordiano;Unidade_Cronoestratigrafica
Roadiano;Unidade_Cronoestratigrafica
Cisuraliano;Unidade_Cronoestratigrafica
Kunguriano;Unidade_Cronoestratigrafica
Artinskiano;Unidade_Cronoestratigrafica
Sakmariano;Unidade_Cronoestratigrafica
Asseliano;Unidade_Cronoestratigrafica
Carbonífero;Unidade_Cronoestratigrafica
Pennsylvaniano;Unidade_Cronoestratigrafica
Pennsylvaniano Superior;Unidade_Cronoestratigrafica
Gzheliano;Unidade_Cronoestratigrafica
Kasimoviano;Unidade_Cronoestratigrafica
Pennsylvaniano Médio;Unidade_Cronoestratigrafica
Moscoviano;Unidade_Cronoestratigrafica
Pennsylvaniano Inferior;Unidade_Cronoestratigrafica
